Altium Designer Pick and Place Locations
C:\Users\matt\Blinkinlabs-Repos\alles-pcb\pcb\Project Outputs for Alles\Pick Place\Pick Place for Alles.csv

========================================================================================================================
File Design Information:

Date:       05/10/21
Time:       00:26
Revision:   096b92748487ae8aee08d3aff9107bf5833e1d5c
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"C7","CAPC1005X06L","41.7000","8.4500","41.7000","8.4500","42.0900","8.4500","TopLayer","180","0.10uF"
"C6","CAPC1608X09L","39.1750","8.4500","39.1750","8.4500","39.8250","8.4500","TopLayer","180","10uF"
"C15","CAPC1005X06L","42.6000","6.7000","42.6000","6.7000","42.6000","7.0900","TopLayer","270","0.10uF"
"D1","FP-425-04-IPC_C","33.0500","6.4000","33.0500","6.4000","33.0500","4.7200","TopLayer","90","MBR0520LT1G"
"U6","SOT95P280X125-6N-3","39.9000","6.2000","39.9000","6.2000","38.5500","7.1500","TopLayer","360","XB5307H"
"Q3","FP-SOT23-IPC_A","35.7500","6.2000","35.7500","6.2000","34.7733","7.1150","TopLayer","0","DMP3099L-13"
"R5","ERJ2G(0402)_L","29.4000","6.0000","29.4000","6.0000","29.4000","6.4000","TopLayer","270","10k"
"R4","ERJ2G(0402)_L","30.3500","6.0000","30.3500","6.0000","30.3500","6.4000","TopLayer","270","100k"
"R22","ERJ2G(0402)_L","31.4250","6.0000","31.4250","6.0000","31.4250","6.4000","TopLayer","270","10k"
"R27","ERJ2G(0402)_L","42.6000","4.6000","42.6000","4.6000","42.6000","5.0000","TopLayer","270","100"
"C17","CAPC1608X09L","9.6000","4.3000","9.6000","4.3000","10.2500","4.3000","TopLayer","180","22uF"
"R11","ERJ2G(0402)_L","11.9000","4.3000","11.9000","4.3000","11.5000","4.3000","TopLayer","360","10k"
"P2","HDR1X2","44.5000","3.7700","44.5000","2.5000","44.5000","2.5000","TopLayer","90","Battery"
"R16","ERJ2G(0402)_L","17.5000","3.5000","17.5000","3.5000","17.9000","3.5000","TopLayer","180","100k"
"R15","ERJ2G(0402)_L","11.9000","3.3000","11.9000","3.3000","11.5000","3.3000","TopLayer","360","10k"
"C12","CAPC1608X09L","36.7000","3.2000","36.7000","3.2000","36.7000","3.8500","TopLayer","270","4.7uF"
"Q2","FP-SOT363-MFG","34.2000","3.1000","34.2000","3.1000","33.2500","3.7500","TopLayer","0","DMC3400SDW-7"
"Q1","ONSC-SOT-563-6-463A-01_V","15.0000","3.0000","15.0000","3.0000","14.3250","3.5000","TopLayer","0","EMX1DXV6T1G"
"C13","CAPC1608X09L","9.6000","2.9000","9.6000","2.9000","10.2500","2.9000","TopLayer","180","4.7uF"
"R14","ERJ2G(0402)_L","17.5000","2.5000","17.5000","2.5000","17.9000","2.5000","TopLayer","180","100k"
"C14","CAPC1608X09L","42.4000","2.4000","42.4000","2.4000","42.4000","3.0500","TopLayer","270","4.7uF"
"R13","ERJ2G(0402)_L","11.9000","2.3000","11.9000","2.3000","11.5000","2.3000","TopLayer","360","10k"
"J1","A01SB741B1-267","28.0000","2.2000","28.0000","3.5000","29.3000","3.5000","TopLayer","180","A01SB741B1-267"
"U5","FP-C04-091-OT-MFG","39.4500","2.1750","39.4500","2.1750","40.8500","1.2250","TopLayer","180","MCP73832T-2ACI/OT"
"R26","ERJ2G(0402)_L","36.8500","0.9000","36.8500","0.9000","36.8500","1.3000","TopLayer","270","2k"
"R21","ERJ2G(0402)_L","33.8000","0.9000","33.8000","0.9000","33.8000","1.3000","TopLayer","270","10k"
"R20","ERJ2G(0402)_L","32.9000","0.9000","32.9000","0.9000","32.9000","0.5000","TopLayer","90","100k"
"R19","ERJ2G(0402)_L","34.8250","0.9000","34.8250","0.9000","34.8250","0.5000","TopLayer","90","100k"
"R18","ERJ2G(0402)_L","35.9000","0.9000","35.9000","0.9000","35.9000","1.3000","TopLayer","270","100k"
